X                    Y                    Z                    Dose [pSv/h]                             Rel. Error                 
-2353,89             350,45               -614,45              3,145694E+10                             4,901965E-03               
-2343,6              350,45               -614,45              3,165842E+10                             4,954211E-03               
-2333,31             350,45               -614,45              3,185908E+10                             5,002374E-03               
-2323,02             350,45               -614,45              3,206076E+10                             5,05903E-03                
-2312,73             350,45               -614,45              3,22674E+10                              5,109701E-03               
-2302,44             350,45               -614,45              3,246924E+10                             5,155234E-03               
-2292,16             350,45               -614,45              3,267798E+10                             5,210871E-03               
-2281,87             350,45               -614,45              3,287725E+10                             5,249756E-03               
-2271,58             350,45               -614,45              3,30843E+10                              5,300955E-03               
-2261,29             350,45               -614,45              3,328621E+10                             5,341996E-03               
-2251                350,45               -614,45              3,348879E+10                             5,386324E-03               
-2240,71             350,45               -614,45              3,369114E+10                             5,422915E-03               
-2230,42             350,45               -614,45              3,389531E+10                             5,460687E-03               
-2220,13             350,45               -614,45              3,409959E+10                             5,501563E-03               
-2209,84             350,45               -614,45              3,42987E+10                              5,530856E-03               
-2199,55             350,45               -614,45              3,44994E+10                              5,56342E-03                
-2189,26             350,45               -614,45              3,469373E+10                             5,582206E-03               
-2178,97             350,45               -614,45              3,489233E+10                             5,612459E-03               
-2168,68             350,45               -614,45              3,508845E+10                             5,638259E-03               
-2158,39             350,45               -614,45              3,527997E+10                             5,650619E-03               
-2148,1              350,45               -614,45              3,547544E+10                             5,673124E-03               
-2137,81             350,45               -614,45              3,566922E+10                             5,691549E-03               
-2127,52             350,45               -614,45              3,586092E+10                             5,704235E-03               
-2117,23             350,45               -614,45              3,60438E+10                              5,710984E-03               
-2415,63             359,8                -614,45              3,027763E+10                             4,574509E-03               
-2405,34             359,8                -614,45              3,046778E+10                             4,618889E-03               
-2395,05             359,8                -614,45              3,066725E+10                             4,675766E-03               
-2384,76             359,8                -614,45              3,086375E+10                             4,729364E-03               
-2374,47             359,8                -614,45              3,106478E+10                             4,785487E-03               
-2364,18             359,8                -614,45              3,126442E+10                             4,838908E-03               
-2353,89             359,8                -614,45              3,146471E+10                             4,890921E-03               
-2343,6              359,8                -614,45              3,16688E+10                              4,951311E-03               
-2333,31             359,8                -614,45              3,186618E+10                             4,994994E-03               
-2323,02             359,8                -614,45              3,207131E+10                             5,04838E-03                
-2312,73             359,8                -614,45              3,227817E+10                             5,106847E-03               
-2302,44             359,8                -614,45              3,248008E+10                             5,149286E-03               
-2292,16             359,8                -614,45              3,268784E+10                             5,206154E-03               
-2281,87             359,8                -614,45              3,289601E+10                             5,256379E-03               
-2271,58             359,8                -614,45              3,309881E+10                             5,303504E-03               
-2261,29             359,8                -614,45              3,330119E+10                             5,342997E-03               
-2251                359,8                -614,45              3,35083E+10                              5,390133E-03               
-2240,71             359,8                -614,45              3,370914E+10                             5,4296E-03                 
-2230,42             359,8                -614,45              3,391473E+10                             5,46964E-03                
-2220,13             359,8                -614,45              3,411713E+10                             5,503505E-03               
-2209,84             359,8                -614,45              3,431624E+10                             5,541102E-03               
-2199,55             359,8                -614,45              3,451682E+10                             5,573186E-03               
-2189,26             359,8                -614,45              3,472038E+10                             5,607097E-03               
-2178,97             359,8                -614,45              3,492004E+10                             5,636024E-03               
-2168,68             359,8                -614,45              3,51128E+10                              5,656127E-03               
-2158,39             359,8                -614,45              3,531088E+10                             5,679355E-03               
-2148,1              359,8                -614,45              3,55071E+10                              5,699177E-03               
-2137,81             359,8                -614,45              3,569621E+10                             5,71434E-03                
-2127,52             359,8                -614,45              3,589103E+10                             5,734363E-03               
-2117,23             359,8                -614,45              3,607935E+10                             5,743694E-03               
-2415,63             369,16               -614,45              3,028205E+10                             4,561869E-03               
-2405,34             369,16               -614,45              3,047569E+10                             4,612474E-03               
-2395,05             369,16               -614,45              3,067226E+10                             4,663994E-03               
-2384,76             369,16               -614,45              3,087282E+10                             4,723618E-03               
-2374,47             369,16               -614,45              3,107478E+10                             4,779583E-03               
-2364,18             369,16               -614,45              3,127105E+10                             4,828215E-03               
-2353,89             369,16               -614,45              3,14739E+10                              4,886122E-03               
-2343,6              369,16               -614,45              3,16772E+10                              4,941403E-03               
-2333,31             369,16               -614,45              3,18796E+10                              4,993106E-03               
-2323,02             369,16               -614,45              3,208417E+10                             5,049171E-03               
-2312,73             369,16               -614,45              3,229111E+10                             5,106242E-03               
-2302,44             369,16               -614,45              3,249582E+10                             5,152551E-03               
-2292,16             369,16               -614,45              3,26978E+10                              5,198943E-03               
-2281,87             369,16               -614,45              3,290808E+10                             5,257288E-03               
-2271,58             369,16               -614,45              3,310822E+10                             5,30046E-03                
-2261,29             369,16               -614,45              3,331778E+10                             5,352097E-03               
-2251                369,16               -614,45              3,352364E+10                             5,399184E-03               
-2240,71             369,16               -614,45              3,372906E+10                             5,440192E-03               
-2230,42             369,16               -614,45              3,393604E+10                             5,486924E-03               
-2220,13             369,16               -614,45              3,413942E+10                             5,522442E-03               
-2209,84             369,16               -614,45              3,434483E+10                             5,566989E-03               
-2199,55             369,16               -614,45              3,454482E+10                             5,598424E-03               
-2189,26             369,16               -614,45              3,474457E+10                             5,627035E-03               
-2178,97             369,16               -614,45              3,495281E+10                             5,669774E-03               
-2168,68             369,16               -614,45              3,515082E+10                             5,698873E-03               
-2158,39             369,16               -614,45              3,534359E+10                             5,713931E-03               
-2148,1              369,16               -614,45              3,554044E+10                             5,73511E-03                
-2137,81             369,16               -614,45              3,573366E+10                             5,7542E-03                 
-2127,52             369,16               -614,45              3,592875E+10                             5,776993E-03               
-2117,23             369,16               -614,45              3,611265E+10                             5,778772E-03               
-2415,63             378,51               -614,45              3,028865E+10                             4,554297E-03               
-2405,34             378,51               -614,45              3,048438E+10                             4,604548E-03               
-2395,05             378,51               -614,45              3,068527E+10                             4,665462E-03               
-2384,76             378,51               -614,45              3,088334E+10                             4,718119E-03               
-2374,47             378,51               -614,45              3,108343E+10                             4,773901E-03               
-2364,18             378,51               -614,45              3,128445E+10                             4,829519E-03               
-2353,89             378,51               -614,45              3,148777E+10                             4,886291E-03               
-2343,6              378,51               -614,45              3,168853E+10                             4,939335E-03               
-2333,31             378,51               -614,45              3,18946E+10                              4,999871E-03               
-2323,02             378,51               -614,45              3,209842E+10                             5,051229E-03               
-2312,73             378,51               -614,45              3,23055E+10                              5,108306E-03               
-2302,44             378,51               -614,45              3,25135E+10                              5,161573E-03               
-2292,16             378,51               -614,45              3,271829E+10                             5,215897E-03               
-2281,87             378,51               -614,45              3,292441E+10                             5,261775E-03               
-2271,58             378,51               -614,45              3,313256E+10                             5,315715E-03               
-2261,29             378,51               -614,45              3,334265E+10                             5,37326E-03                
-2251                378,51               -614,45              3,354857E+10                             5,418468E-03               
-2240,71             378,51               -614,45              3,375295E+10                             5,460958E-03               
-2230,42             378,51               -614,45              3,396046E+10                             5,507838E-03               
-2220,13             378,51               -614,45              3,416792E+10                             5,55316E-03                
-2209,84             378,51               -614,45              3,437263E+10                             5,592979E-03               
-2199,55             378,51               -614,45              3,458016E+10                             5,638527E-03               
